category,method,variant,detection_level,server_completed,formal_result,acceptance_pass,metric,metric_value,note
strip_protocol_v3,STRIP++ protocol v3,square_main,sample-level,true,true,true,detection_rate,0.8933,"Formal sample-level detection result completed on server"
strip_protocol_v3,STRIP++ protocol v3,square_main,sample-level,true,true,true,FPR,0.0067,"Formal sample-level detection result completed on server"
strip_protocol_v3,STRIP++ protocol v3,square_main,sample-level,true,true,true,ROC_AUC,0.9550,"Formal sample-level detection result completed on server"
strip_protocol_v3,STRIP++ protocol v3,square_main,sample-level,true,true,true,PR_AUC,0.9643,"Formal sample-level detection result completed on server"
strip_protocol_v3,STRIP++ protocol v3,square_main,sample-level,true,true,true,F1,0.9404,"Formal sample-level detection result completed on server"
strip_protocol_v3,STRIP++ protocol v3,square_main,sample-level,true,true,true,balanced_accuracy,0.9433,"Formal sample-level detection result completed on server"
strip_protocol_v3,STRIP++ protocol v3,checkerboard_main,sample-level,true,true,true,detection_rate,1.0000,"Formal sample-level detection result completed on server"
strip_protocol_v3,STRIP++ protocol v3,checkerboard_main,sample-level,true,true,true,FPR,0.0000,"Formal sample-level detection result completed on server"
strip_protocol_v3,STRIP++ protocol v3,checkerboard_main,sample-level,true,true,true,ROC_AUC,0.9983,"Formal sample-level detection result completed on server"
strip_protocol_v3,STRIP++ protocol v3,checkerboard_main,sample-level,true,true,true,PR_AUC,0.9993,"Formal sample-level detection result completed on server"
strip_protocol_v3,STRIP++ protocol v3,checkerboard_main,sample-level,true,true,true,F1,1.0000,"Formal sample-level detection result completed on server"
strip_protocol_v3,STRIP++ protocol v3,checkerboard_main,sample-level,true,true,true,balanced_accuracy,1.0000,"Formal sample-level detection result completed on server"
strip_protocol_v3,STRIP++ protocol v3,overall,sample-level,true,true,true,mean_detection_rate,0.9467,"Mean metrics across square_main and checkerboard_main"
strip_protocol_v3,STRIP++ protocol v3,overall,sample-level,true,true,true,mean_FPR,0.0033,"Mean metrics across square_main and checkerboard_main"
strip_protocol_v3,STRIP++ protocol v3,overall,sample-level,true,true,true,mean_ROC_AUC,0.9766,"Mean metrics across square_main and checkerboard_main"
strip_protocol_v3,STRIP++ protocol v3,overall,sample-level,true,true,true,mean_PR_AUC,0.9818,"Mean metrics across square_main and checkerboard_main"
neural_cleanse_full_43_class,full 43-class Neural Cleanse,square_main,model-level,true,true,true,completed_class_count,43,"Formal model-level detection result completed on server"
neural_cleanse_full_43_class,full 43-class Neural Cleanse,square_main,model-level,true,true,true,suspected_target_class,0,"Formal model-level detection result completed on server"
neural_cleanse_full_43_class,full 43-class Neural Cleanse,square_main,model-level,true,true,true,target_label_0_detected,true,"Formal model-level detection result completed on server"
neural_cleanse_full_43_class,full 43-class Neural Cleanse,square_main,model-level,true,true,true,mask_norm_class_0,242.2166,"Formal model-level detection result completed on server"
neural_cleanse_full_43_class,full 43-class Neural Cleanse,square_main,model-level,true,true,true,second_smallest_mask_norm,499.6801,"Formal model-level detection result completed on server"
neural_cleanse_full_43_class,full 43-class Neural Cleanse,square_main,model-level,true,true,true,median_mask_norm,669.8555,"Formal model-level detection result completed on server"
neural_cleanse_full_43_class,full 43-class Neural Cleanse,square_main,model-level,true,true,true,mad_anomaly_index,4.5259,"Formal model-level detection result completed on server"
neural_cleanse_full_43_class,full 43-class Neural Cleanse,square_main,model-level,true,true,true,anomaly_threshold,2.0,"Formal model-level detection result completed on server"
neural_cleanse_full_43_class,full 43-class Neural Cleanse,square_main,model-level,true,true,true,reversed_success_rate,1.0,"Formal model-level detection result completed on server"
neural_cleanse_full_43_class,full 43-class Neural Cleanse,checkerboard_main,model-level,true,true,true,completed_class_count,43,"Formal model-level detection result completed on server"
neural_cleanse_full_43_class,full 43-class Neural Cleanse,checkerboard_main,model-level,true,true,true,suspected_target_class,0,"Formal model-level detection result completed on server"
neural_cleanse_full_43_class,full 43-class Neural Cleanse,checkerboard_main,model-level,true,true,true,target_label_0_detected,true,"Formal model-level detection result completed on server"
neural_cleanse_full_43_class,full 43-class Neural Cleanse,checkerboard_main,model-level,true,true,true,mask_norm_class_0,116.1734,"Formal model-level detection result completed on server"
neural_cleanse_full_43_class,full 43-class Neural Cleanse,checkerboard_main,model-level,true,true,true,second_smallest_mask_norm,379.8344,"Formal model-level detection result completed on server"
neural_cleanse_full_43_class,full 43-class Neural Cleanse,checkerboard_main,model-level,true,true,true,median_mask_norm,593.5593,"Formal model-level detection result completed on server"
neural_cleanse_full_43_class,full 43-class Neural Cleanse,checkerboard_main,model-level,true,true,true,mad_anomaly_index,6.3364,"Formal model-level detection result completed on server"
neural_cleanse_full_43_class,full 43-class Neural Cleanse,checkerboard_main,model-level,true,true,true,anomaly_threshold,2.0,"Formal model-level detection result completed on server"
neural_cleanse_full_43_class,full 43-class Neural Cleanse,checkerboard_main,model-level,true,true,true,reversed_success_rate,1.0,"Formal model-level detection result completed on server"
audit,framework_compatibility,overall,audit,true,true,true,framework_audit_pass,true,"Framework compatibility audit summary"
audit,framework_compatibility,overall,audit,true,true,true,mindspore_native_pass,true,"Framework compatibility audit summary"
audit,framework_compatibility,overall,audit,true,true,true,cpu_mode_pass,true,"Framework compatibility audit summary"
audit,framework_compatibility,overall,audit,true,true,true,ascend_ready,true,"Framework compatibility audit summary"
audit,framework_compatibility,overall,audit,true,true,true,pynative_supported,true,"Framework compatibility audit summary"
audit,framework_compatibility,overall,audit,true,true,true,graph_supported,false,"Framework compatibility audit summary"
audit,framework_compatibility,overall,audit,true,true,true,no_torch_dependency,true,"Framework compatibility audit summary"
audit,framework_compatibility,overall,audit,true,true,true,backend_abstraction_needed,true,"Framework compatibility audit summary"
audit,framework_compatibility,overall,audit,true,true,true,migration_risk_level,medium,"Framework compatibility audit summary"
audit,methodology,overall,audit,true,true,true,methodology_audit_pass,true,"Methodology audit summary"
audit,methodology,overall,audit,true,true,true,current_formal_detection_methodology_pass,true,"Methodology audit summary"
audit,methodology,overall,audit,true,true,true,protocol_v3_methodology_pass,true,"Methodology audit summary"
audit,methodology,overall,audit,true,true,true,legacy_v2_methodology_pass,true,"Methodology audit summary"
audit,methodology,overall,audit,true,true,true,protocol_v3_exists,true,"Methodology audit summary"
audit,methodology,overall,audit,true,true,true,protocol_v3_metrics_pass,true,"Methodology audit summary"
audit,methodology,overall,audit,true,true,true,threshold_leakage_detected,false,"Methodology audit summary"
audit,methodology,overall,audit,true,true,true,sample_leakage_detected,false,"Methodology audit summary"
audit,methodology,overall,audit,true,true,true,seed_cherry_picking_detected,false,"Methodology audit summary"
audit,methodology,overall,audit,true,true,true,metric_leakage_detected,false,"Methodology audit summary"
audit,methodology,overall,audit,true,true,true,v2_preliminary_reason,fixed-threshold holdout instability,"Methodology audit summary"
scope,integration_scope,overall,report-integration,true,true,true,reran_experiments,false,"This round does not rerun experiments"
scope,integration_scope,overall,report-integration,true,true,true,modified_attack_pipeline,false,"This round does not modify the attack pipeline"
scope,integration_scope,overall,report-integration,true,true,true,modified_defense_algorithm,false,"This round does not modify the defense algorithm"
