Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,runtime,BinaryGetFunctionByEntry,837.4,56,14.954,1.1,208.86,1716.184
host,runtime,BinaryGetFunctionByName,1365.41,804,1.698,0.76,55.91,10.98
host,runtime,BinaryLoadFromData,3680.99,15,245.399,34.42,1066.98,91028.006
host,runtime,CacheLastTaskOpInfo,252.09,200,1.26,0.78,3.41,0.217
host,acl,Cast_Tiling,37.15,2,18.575,16.42,20.73,4.644
host,runtime,ContextGetCurrent,2.25,1,2.25,2.25,2.25,0
host,runtime,CtxGetOverflowAddr,3.55,1,3.55,3.55,3.55,0
host,runtime,CtxGetSysParamOpt,78.33,166,0.472,0.28,5.23,0.248
host,runtime,CtxSetSysParamOpt,2.31,2,1.155,0.72,1.59,0.189
host,runtime,DevFree,2368.34,5,473.668,3.37,1053.44,169540.378
host,runtime,DevMalloc,1250.92,13,96.225,34.94,154.41,1403.317
host,runtime,DeviceReset,1.46,1,1.46,1.46,1.46,0
host,runtime,DeviceSynchronize,45106.05,8,5638.256,12.78,22693.34,94519963.877
host,acl,DynamicQuant_Tiling,27351.14,100,273.511,0.42,585.39,74577.488
host,acl,Fill_Tiling,94.02,4,23.505,8.97,56.85,376.264
host,runtime,FuncGetAddr,94.92,250,0.38,0.26,0.77,0.005
host,acl,GroupedMatmul_Tiling,147136.61,200,735.683,0.62,1625.78,545871.343
host,runtime,HostFree,3801.59,1500,2.534,1.91,24.21,0.904
host,runtime,HostMalloc,4104.15,1500,2.736,1.76,17,2.224
host,runtime,LaunchKernelV2,9875.57,1109,8.905,2.91,338.36,201.758
host,runtime,LaunchRandomNumTask,254.68,7,36.383,27.28,58.34,116.227
host,runtime,MemCopySync,4149.04,301,13.784,12.34,40.12,5.499
host,runtime,MemcpyAsync,45.63,7,6.519,4.77,13.29,8.305
host,runtime,ModelDestroy,140.44,1,140.44,140.44,140.44,0
host,runtime,ModelExecute,894.03,2,447.015,12.56,881.47,188751.147
host,acl,OnesLike_Tiling,54.11,1,54.11,54.11,54.11,0
host,runtime,SetDevice,47.11,1,47.11,47.11,47.11,0
host,runtime,SetStreamMode,42.84,66,0.649,0.51,1.62,0.026
host,runtime,StreamCreate,25112.92,66,380.499,297.06,1537.41,41358.952
host,runtime,StreamDestroy,1961.45,1,1961.45,1961.45,1961.45,0
host,runtime,StreamSyncTaskFinish,0,11,0,0,0,0
host,runtime,StreamSynchronize,31.06,2,15.53,14.61,16.45,0.846
host,acl,TensorMove_Tiling,10.42,1,10.42,10.42,10.42,0
host,acl,aclmdlRICaptureBegin,3260.11,2,1630.055,1441.8,1818.31,35439.945
host,acl,aclmdlRICaptureEnd,34.97,2,17.485,15.13,19.84,5.546
host,acl,aclmdlRICaptureGetInfo,370.03,536,0.69,0.35,2.52,0.062
host,acl,aclmdlRIDestroy,146.45,1,146.45,146.45,146.45,0
host,acl,aclmdlRIDestroyRegisterCallback,2.57,1,2.57,2.57,2.57,0
host,acl,aclmdlRIExecuteAsync,905.87,2,452.935,17.39,888.48,189699.447
host,acl,aclmdlRIGetId,1.9,1,1.9,1.9,1.9,0
host,acl,aclmdlRIGetStreams,4.49,2,2.245,1,3.49,1.55
host,acl,aclmdlRIGetTasksByStream,146.24,2,73.12,2.51,143.73,4985.772
host,acl,aclmdlRIKernelTaskGetAttribute,251.64,550,0.458,0.4,1.07,0.001
host,acl,aclmdlRITaskDisable,5170.46,500,10.341,8.46,26.81,2.014
host,acl,aclmdlRITaskGetParams,6379.91,550,11.6,9.63,28.3,1.846
