Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
3,SuperKernel,MIX_AIC,100,45137.14,445.34,451.371,484.86,61.35
3,DynamicQuant,AI_VECTOR_CORE,50,16438.96,317.58,328.779,333.6,22.344
3,GroupedMatmul,MIX_AIC,100,4580.9,24.62,45.809,52.46,6.226
3,DSARandomUniform,DSA_SQE,7,4166.36,1.56,595.194,2774.52,5.663
3,clear_ops,MIX_AIC,50,1712.68,32.54,34.253,35.78,2.328
3,DequantSwigluQuant,AI_VECTOR_CORE,50,448.04,7.8,8.96,13.34,0.609
3,Cast,AI_VECTOR_CORE,2,442.16,119.7,221.08,322.46,0.601
3,TensorMove,AI_VECTOR_CORE,2,366.9,182.32,183.45,184.58,0.499
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,200,154.14,0.66,0.77,1.08,0.21
3,sk_scope_kernel_begin_dav_2201,AI_VECTOR_CORE,50,38.82,0.7,0.776,1.02,0.053
3,sk_scope_kernel_end_dav_2201,AI_VECTOR_CORE,50,38.54,0.68,0.77,0.84,0.052
3,OnesLike,AI_VECTOR_CORE,1,36.9,36.9,36.9,36.9,0.05
3,Fill,AI_VECTOR_CORE,4,11.78,1.66,2.945,3.64,0.016
