Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
3,4294967295,0,47,aclnnInplaceOne_OnesLikeAiCore_OnesLike,OnesLike,dynamic,AI_VECTOR_CORE,1788186421722198.575	,36.900,0,40,0,NO,"""9216,7168""",INT8,ND,"""9216,7168""",INT8,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.899,2171349,5.056,0.154,4.444,0.135,0.001,0.0,25.371,0.771,0.012,0.000
3,4294967295,2,47,aclnnInplaceUniform_DSARandomUniform_DSARandomUniform,DSARandomUniform,dynamic,DSA_SQE,1788186421730542.875	,2774.520,8307.600000,0,0,NO,N/A,N/A,N/A,"""1,7168,4096""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,4294967295,3,47,aclnnInplaceUniform_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1788186421733317.415	,322.460,0.000000,40,0,NO,"""1,7168,4096""",FLOAT,ND,"""1,7168,4096""",INT8,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.605,21027918,171.771,0.539,12.854,0.04,206.494,0.648,99.949,0.314,0.005,0.000
3,4294967295,5,47,aclnnInplaceUniform_DSARandomUniform_DSARandomUniform,DSARandomUniform,dynamic,DSA_SQE,1788186421733642.455	,1382.440,2.540000,0,0,NO,N/A,N/A,N/A,"""1,2048,7168""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,4294967295,6,47,aclnnInplaceUniform_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1788186421735024.915	,119.700,0.060000,40,0,NO,"""1,2048,7168""",FLOAT,ND,"""1,2048,7168""",INT8,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.781,7509520,85.881,0.755,7.237,0.064,47.771,0.42,13.286,0.117,0.0,0.000
3,4294967295,8,47,aclnnInplaceUniform_DSARandomUniform_DSARandomUniform,DSARandomUniform,dynamic,DSA_SQE,1788186421735147.015	,1.800,2.300000,0,0,NO,N/A,N/A,N/A,"""1,7168""",DT_BF16,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,4294967295,10,47,aclnnInplaceUniform_DSARandomUniform_DSARandomUniform,DSARandomUniform,dynamic,DSA_SQE,1788186421735151.155	,2.140,2.450000,0,0,NO,N/A,N/A,N/A,"""9216""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,4294967295,12,47,aclnnInplaceUniform_DSARandomUniform_DSARandomUniform,DSARandomUniform,dynamic,DSA_SQE,1788186421735155.655	,1.700,2.360000,0,0,NO,N/A,N/A,N/A,"""1,4096""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,4294967295,14,47,aclnnInplaceUniform_DSARandomUniform_DSARandomUniform,DSARandomUniform,dynamic,DSA_SQE,1788186421735159.755	,2.200,2.300000,0,0,NO,N/A,N/A,N/A,"""9216""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,4294967295,16,47,aclnnInplaceUniform_DSARandomUniform_DSARandomUniform,DSARandomUniform,dynamic,DSA_SQE,1788186421735164.455	,1.560,2.550000,0,0,NO,N/A,N/A,N/A,"""1,2048""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
