Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
3,N/A,PROFILING_ENABLE,48,2,0.020,1788186421054666.055	,1788186421054666.075	
3,N/A,KERNEL_AICPU,48,3,129.920,1788186421061321.035	,1788186421061450.955	
3,N/A,TASK_TIMEOUT_SET,48,4,111.240,1788186421065130.095	,1788186421065241.335	
3,N/A,TASK_TIMEOUT_SET,48,5,87.280,1788186421068408.195	,1788186421068495.475	
3,OnesLike_2060cf8d69781f9a7462e2f67555909f_high_performance_210010000,AI_VECTOR_CORE,47,0,36.900,1788186421722198.575	,1788186421722235.475	
3,N/A,MEMCPY_ASYNC,47,1,2.140,1788186421730513.435	,1788186421730515.575	
3,N/A,DSA_SQE,47,2,2774.520,1788186421730542.875	,1788186421733317.395	
3,Cast_be58e0047e83b59a9415f71365cd1622_high_performance_210010000,AI_VECTOR_CORE,47,3,322.460,1788186421733317.415	,1788186421733639.875	
3,N/A,MEMCPY_ASYNC,47,4,2.400,1788186421733639.895	,1788186421733642.295	
3,N/A,DSA_SQE,47,5,1382.440,1788186421733642.455	,1788186421735024.895	
3,Cast_be58e0047e83b59a9415f71365cd1622_high_performance_210010000,AI_VECTOR_CORE,47,6,119.700,1788186421735024.915	,1788186421735144.615	
3,N/A,MEMCPY_ASYNC,47,7,2.220,1788186421735144.635	,1788186421735146.855	
3,N/A,DSA_SQE,47,8,1.800,1788186421735147.015	,1788186421735148.815	
3,N/A,MEMCPY_ASYNC,47,9,2.160,1788186421735148.835	,1788186421735150.995	
3,N/A,DSA_SQE,47,10,2.140,1788186421735151.155	,1788186421735153.295	
3,N/A,MEMCPY_ASYNC,47,11,2.160,1788186421735153.335	,1788186421735155.495	
3,N/A,DSA_SQE,47,12,1.700,1788186421735155.655	,1788186421735157.355	
3,N/A,MEMCPY_ASYNC,47,13,2.220,1788186421735157.375	,1788186421735159.595	
3,N/A,DSA_SQE,47,14,2.200,1788186421735159.755	,1788186421735161.955	
3,N/A,MEMCPY_ASYNC,47,15,2.320,1788186421735161.975	,1788186421735164.295	
3,N/A,DSA_SQE,47,16,1.560,1788186421735164.455	,1788186421735166.015	
3,sk_scope_kernel_begin_dav_2201,AI_VECTOR_CORE,47,17,1.020,1788186427188797.735	,1788186427188798.755	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,18,0.920,1788186427188964.035	,1788186427188964.955	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,19,0.880,1788186427189005.575	,1788186427189006.455	
3,GroupedMatmul_073724674f6bc75efdc841276e0eb3cc_335741442,MIX_AIC,47,20,46.500,1788186427210670.275	,1788186427210716.775	
3,DequantSwigluQuant_int32_high_performance_100000000,AI_VECTOR_CORE,47,21,9.980,1788186427893396.235	,1788186427893406.215	
3,GroupedMatmul_7027ddb93c25b26c6a749b5e1bdcd245_34697052674,MIX_AIC,47,22,24.620,1788186427897311.375	,1788186427897335.995	
3,DynamicQuant_bf16_1_high_performance_10,AI_VECTOR_CORE,47,23,317.580,1788186427898067.155	,1788186427898384.735	
3,clear_ops,MIX_AIC,47,24,35.720,1788186427898464.375	,1788186427898500.095	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,25,0.880,1788186427898707.735	,1788186427898708.615	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,26,0.700,1788186427898768.335	,1788186427898769.035	
3,sk_scope_kernel_end_dav_2201,AI_VECTOR_CORE,47,27,0.800,1788186427898827.815	,1788186427898828.615	
3,sk_scope_kernel_begin_dav_2201,AI_VECTOR_CORE,47,28,0.800,1788186427899044.035	,1788186427899044.835	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,29,0.780,1788186427899094.615	,1788186427899095.395	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,30,0.780,1788186427899135.795	,1788186427899136.575	
