Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,runtime,BinaryGetFunctionByEntry,918.03,56,16.393,1.32,226.57,2040.592
host,runtime,BinaryGetFunctionByName,592.96,154,3.85,1.42,52.21,56.735
host,runtime,BinaryLoadFromData,2295.47,12,191.289,34.15,691.23,43514.578
host,runtime,CacheLastTaskOpInfo,308.26,200,1.541,0.77,5.42,0.439
host,acl,Cast_Tiling,37.01,2,18.505,16.1,20.91,5.784
host,runtime,ContextGetCurrent,2.18,1,2.18,2.18,2.18,0
host,runtime,CtxGetOverflowAddr,6.58,1,6.58,6.58,6.58,0
host,runtime,CtxGetSysParamOpt,82.3,166,0.496,0.28,5.92,0.418
host,runtime,CtxSetSysParamOpt,2.44,2,1.22,0.67,1.77,0.303
host,runtime,DevFree,2400.52,5,480.104,2.94,1095.15,178772.006
host,runtime,DevMalloc,1269.57,13,97.659,37.91,154.78,1267.37
host,runtime,DeviceReset,3.14,1,3.14,3.14,3.14,0
host,runtime,DeviceSynchronize,43997.51,8,5499.689,13.71,23049.65,89558324.663
host,acl,DynamicQuant_Tiling,28592.07,100,285.921,0.5,612.85,81439.238
host,acl,Fill_Tiling,97.68,4,24.42,10,54.68,312.837
host,acl,GroupedMatmul_Tiling,155681.27,200,778.406,0.75,1738.57,611285.989
host,runtime,HostFree,1040.37,300,3.468,1.9,15.53,3.909
host,runtime,HostMalloc,1502.85,300,5.01,1.84,42.33,24.354
host,runtime,LaunchKernelV2,6552.11,509,12.873,5.15,257.68,249.77
host,runtime,LaunchRandomNumTask,342.58,7,48.94,31.02,119.96,876.782
host,runtime,MemCopySync,33.32,1,33.32,33.32,33.32,0
host,runtime,MemcpyAsync,55.12,7,7.874,5.02,18.6,20.67
host,runtime,ModelDestroy,267.71,1,267.71,267.71,267.71,0
host,runtime,ModelExecute,1815.38,2,907.69,20.79,1794.59,786591.61
host,acl,OnesLike_Tiling,53.21,1,53.21,53.21,53.21,0
host,runtime,SetDevice,37.46,1,37.46,37.46,37.46,0
host,runtime,SetStreamMode,51.48,66,0.78,0.61,2.06,0.071
host,runtime,StreamCreate,31911.6,66,483.509,313.76,6286.8,538393.965
host,runtime,StreamDestroy,2309.65,1,2309.65,2309.65,2309.65,0
host,runtime,StreamSyncTaskFinish,0,11,0,0,0,0
host,runtime,StreamSynchronize,76.63,2,38.315,23.26,53.37,226.653
host,acl,TensorMove_Tiling,7.58,1,7.58,7.58,7.58,0
host,acl,aclmdlRICaptureBegin,3289.77,2,1644.885,1446.07,1843.7,39527.404
host,acl,aclmdlRICaptureEnd,79.82,2,39.91,23.91,55.91,256
host,acl,aclmdlRICaptureGetInfo,398.45,536,0.743,0.35,5.55,0.195
host,acl,aclmdlRIDestroy,276.91,1,276.91,276.91,276.91,0
host,acl,aclmdlRIExecuteAsync,1832.14,2,916.07,27.21,1804.93,790072.1
host,acl,aclnnDequantSwigluQuantV2,47817.95,100,478.18,33.33,1217.06,192344.301
host,acl,aclnnDequantSwigluQuantV2GetWorkspaceSize,773806.29,100,7738.063,14.33,768861.36,5851607441.001
host,acl,aclnnDequantSwigluQuantV2Tiling,1947.14,50,38.943,35.84,104.45,92.54
host,acl,aclnnDynamicQuantV2,3721.41,100,37.214,16.4,401.17,1860.001
host,acl,aclnnDynamicQuantV2GetWorkspaceSize,32349.93,51,634.312,288.9,1748.8,27031.931
host,acl,aclnnGroupedMatmulV5,14105.74,200,70.529,21.21,2009.01,24938.939
host,acl,aclnnGroupedMatmulV5GetWorkspaceSize,172628.16,102,1692.433,488.64,8036.95,440540.813
host,acl,aclnnInplaceCopy,408.61,2,204.305,32.29,376.32,29589.16
host,acl,aclnnInplaceCopyGetWorkspaceSize,13323.14,1,13323.14,13323.14,13323.14,0
host,acl,aclnnInplaceFillScalar,2743.99,4,685.997,52.24,2527.83,1130929.792
host,acl,aclnnInplaceFillScalarGetWorkspaceSize,4541.75,4,1135.438,19.92,4452.89,3668532.454
host,acl,aclnnInplaceOne,500944.17,1,500944.17,500944.17,500944.17,0
host,acl,aclnnInplaceOneGetWorkspaceSize,174447.64,1,174447.64,174447.64,174447.64,0
host,acl,aclnnInplaceUniform,1113.01,7,159.001,55.27,661.39,42849.842
host,acl,aclnnInplaceUniformGetWorkspaceSize,6387,7,912.429,19.48,6218.04,4691664.752
host,acl,aclrtBinaryLoadFromData,2386.09,12,198.841,38.87,699.24,44703.329
host,acl,aclrtCacheLastTaskOpInfo,626.52,200,3.133,2.17,9.61,0.732
host,acl,aclrtCreateStreamWithConfig,32302.86,66,489.437,318.62,6315.96,543356.928
host,acl,aclrtCtxGetFloatOverflowAddr,20.98,1,20.98,20.98,20.98,0
host,acl,aclrtCtxGetSysParamOpt,416.91,166,2.512,1.39,75.43,35.501
host,acl,aclrtCtxSetSysParamOpt,10.08,2,5.04,2.74,7.34,5.29
host,acl,aclrtDestroyStreamForce,2318.82,1,2318.82,2318.82,2318.82,0
host,acl,aclrtFree,2420.96,5,484.192,4.63,1101.67,179317.396
host,acl,aclrtFreeHost,1524.69,300,5.082,3.13,18.35,5.176
host,acl,aclrtGetCurrentContext,21.45,1,21.45,21.45,21.45,0
host,acl,aclrtGetDeviceCount,12.02,2,6.01,4.09,7.93,3.686
host,acl,aclrtGetDeviceInfo,1755.18,100,17.552,13.94,55.36,32.815
host,acl,aclrtGetHardwareSyncAddr,233.48,200,1.167,0.75,8.15,0.55
host,acl,aclrtGetResInCurrentThread,793.44,942,0.842,0.32,11.43,0.543
host,acl,aclrtGetStreamAttribute,375.38,421,0.892,0.47,5.06,0.234
host,acl,aclrtGetStreamResLimit,8.96,4,2.24,0.59,3.56,1.462
host,acl,aclrtLaunchKernelWithHostArgs,8119.3,509,15.951,7.15,262.28,263.138
host,acl,aclrtMallocHost,2067.44,300,6.891,3.13,45.58,31.859
host,acl,aclrtMemcpy,38.33,1,38.33,38.33,38.33,0
host,acl,aclrtMemcpyAsync,113.68,7,16.24,9.53,43.67,129.783
host,acl,aclrtRandomNumAsync,383.43,7,54.776,33.42,144.33,1375.817
host,acl,aclrtResetDevice,11.18,1,11.18,11.18,11.18,0
host,acl,aclrtSetDevice,75.41,1,75.41,75.41,75.41,0
host,acl,aclrtSetOpExecuteTimeOutV2,1324.27,2,662.135,123.81,1200.46,289793.806
host,acl,aclrtSetStreamAttribute,17.26,4,4.315,1.8,5.81,2.707
host,acl,aclrtSetStreamFailureMode,242,66,3.667,3.19,9.65,0.904
host,acl,aclrtSetStreamResLimit,4.09,2,2.045,1,3.09,1.092
host,acl,aclrtSynchronizeDeviceWithTimeout,44052.43,8,5506.554,16.06,23055.85,89555789.816
host,acl,aclrtSynchronizeStream,32.07,1,32.07,32.07,32.07,0
host,acl,aclrtSynchronizeStreamWithTimeout,57.64,1,57.64,57.64,57.64,0
host,acl,aclrtUseStreamResInCurrentThread,6.52,4,1.63,1.3,2.39,0.198
host,node,launch,20879.96,516,40.465,9.21,394.99,2332.154
