Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
3,4294967295,0,47,aclnnInplaceOne_OnesLikeAiCore_OnesLike,OnesLike,dynamic,AI_VECTOR_CORE,1788186112069418.015	,38.980,0,40,0,NO,"""9216,7168""",INT8,ND,"""9216,7168""",INT8,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.865,2301105,5.056,0.145,4.873,0.14,0.001,0.0,26.174,0.751,0.014,0.000
3,4294967295,2,47,aclnnInplaceUniform_DSARandomUniform_DSARandomUniform,DSARandomUniform,dynamic,DSA_SQE,1788186112078029.895	,2774.680,8573.020000,0,0,NO,N/A,N/A,N/A,"""1,7168,4096""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,4294967295,3,47,aclnnInplaceUniform_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1788186112080804.595	,323.340,0.000000,40,0,NO,"""1,7168,4096""",FLOAT,ND,"""1,7168,4096""",INT8,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.37,21012389,171.771,0.54,12.851,0.04,206.403,0.648,97.404,0.306,0.005,0.000
3,4294967295,5,47,aclnnInplaceUniform_DSARandomUniform_DSARandomUniform,DSARandomUniform,dynamic,DSA_SQE,1788186112081130.555	,1382.840,2.660000,0,0,NO,N/A,N/A,N/A,"""1,2048,7168""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,4294967295,6,47,aclnnInplaceUniform_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1788186112082513.435	,117.620,0.160000,40,0,NO,"""1,2048,7168""",FLOAT,ND,"""1,2048,7168""",INT8,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.488,7490198,85.881,0.757,7.113,0.063,47.851,0.422,12.878,0.113,0.0,0.000
3,4294967295,8,47,aclnnInplaceUniform_DSARandomUniform_DSARandomUniform,DSARandomUniform,dynamic,DSA_SQE,1788186112082633.555	,1.980,2.380000,0,0,NO,N/A,N/A,N/A,"""1,7168""",DT_BF16,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,4294967295,10,47,aclnnInplaceUniform_DSARandomUniform_DSARandomUniform,DSARandomUniform,dynamic,DSA_SQE,1788186112082637.995	,2.160,2.520000,0,0,NO,N/A,N/A,N/A,"""9216""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,4294967295,12,47,aclnnInplaceUniform_DSARandomUniform_DSARandomUniform,DSARandomUniform,dynamic,DSA_SQE,1788186112082642.615	,1.680,2.340000,0,0,NO,N/A,N/A,N/A,"""1,4096""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,4294967295,14,47,aclnnInplaceUniform_DSARandomUniform_DSARandomUniform,DSARandomUniform,dynamic,DSA_SQE,1788186112082646.835	,2.180,2.570000,0,0,NO,N/A,N/A,N/A,"""9216""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,4294967295,16,47,aclnnInplaceUniform_DSARandomUniform_DSARandomUniform,DSARandomUniform,dynamic,DSA_SQE,1788186112082651.535	,1.540,2.570000,0,0,NO,N/A,N/A,N/A,"""1,2048""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,4294967295,17,47,aclnnGroupedMatmulV5_GroupedMatmul_GroupedMatmul,GroupedMatmul,dynamic,MIX_AIC,1788186116931045.315	,50.280,4848392.210000,20,0,NO,"""9216,7168;1,7168,4096;;;;;;1""",INT8;INT8;INT32;UINT64;FLOAT;FLOAT16;FLOAT16;INT64,ND;NCL;ND;ND;ND;ND;ND;ND,"""9216,4096""",INT32,ND,0,19.335,638044,2.905,0.15,8.429,0.436,9.407,0.487,15.13,0.783,1.47,0.076,0.021,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.454
