Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
3,N/A,PROFILING_ENABLE,48,2,0.000,1788186111377705.615	,1788186111377705.615	
3,N/A,KERNEL_AICPU,48,3,120.300,1788186111382948.855	,1788186111383069.155	
3,N/A,TASK_TIMEOUT_SET,48,4,94.780,1788186111386590.455	,1788186111386685.235	
3,N/A,TASK_TIMEOUT_SET,48,5,95.360,1788186111389675.795	,1788186111389771.155	
3,OnesLike_2060cf8d69781f9a7462e2f67555909f_high_performance_210010000,AI_VECTOR_CORE,47,0,38.980,1788186112069418.015	,1788186112069456.995	
3,N/A,MEMCPY_ASYNC,47,1,2.300,1788186112077910.675	,1788186112077912.975	
3,N/A,DSA_SQE,47,2,2774.680,1788186112078029.895	,1788186112080804.575	
3,Cast_be58e0047e83b59a9415f71365cd1622_high_performance_210010000,AI_VECTOR_CORE,47,3,323.340,1788186112080804.595	,1788186112081127.935	
3,N/A,MEMCPY_ASYNC,47,4,2.420,1788186112081127.975	,1788186112081130.395	
3,N/A,DSA_SQE,47,5,1382.840,1788186112081130.555	,1788186112082513.395	
3,Cast_be58e0047e83b59a9415f71365cd1622_high_performance_210010000,AI_VECTOR_CORE,47,6,117.620,1788186112082513.435	,1788186112082631.055	
3,N/A,MEMCPY_ASYNC,47,7,2.320,1788186112082631.075	,1788186112082633.395	
3,N/A,DSA_SQE,47,8,1.980,1788186112082633.555	,1788186112082635.535	
3,N/A,MEMCPY_ASYNC,47,9,2.280,1788186112082635.555	,1788186112082637.835	
3,N/A,DSA_SQE,47,10,2.160,1788186112082637.995	,1788186112082640.155	
3,N/A,MEMCPY_ASYNC,47,11,2.280,1788186112082640.175	,1788186112082642.455	
3,N/A,DSA_SQE,47,12,1.680,1788186112082642.615	,1788186112082644.295	
3,N/A,MEMCPY_ASYNC,47,13,2.340,1788186112082644.335	,1788186112082646.675	
3,N/A,DSA_SQE,47,14,2.180,1788186112082646.835	,1788186112082649.015	
3,N/A,MEMCPY_ASYNC,47,15,2.320,1788186112082649.055	,1788186112082651.375	
3,N/A,DSA_SQE,47,16,1.540,1788186112082651.535	,1788186112082653.075	
3,GroupedMatmul_073724674f6bc75efdc841276e0eb3cc_335741442,MIX_AIC,47,17,50.280,1788186116931045.315	,1788186116931095.595	
3,DequantSwigluQuant_int32_high_performance_100000000,AI_VECTOR_CORE,47,18,10.080,1788186117699748.955	,1788186117699759.035	
3,GroupedMatmul_7027ddb93c25b26c6a749b5e1bdcd245_34697052674,MIX_AIC,47,19,23.660,1788186117704007.315	,1788186117704030.975	
3,DynamicQuant_bf16_1_high_performance_10,AI_VECTOR_CORE,47,20,324.660,1788186117704566.495	,1788186117704891.155	
3,clear_ops,MIX_AIC,47,21,30.740,1788186117704971.135	,1788186117705001.875	
3,GroupedMatmul_073724674f6bc75efdc841276e0eb3cc_335741442,MIX_AIC,47,22,52.160,1788186117706976.415	,1788186117707028.575	
3,DequantSwigluQuant_int32_high_performance_100000000,AI_VECTOR_CORE,47,23,9.480,1788186117707134.295	,1788186117707143.775	
3,GroupedMatmul_7027ddb93c25b26c6a749b5e1bdcd245_34697052674,MIX_AIC,47,24,43.580,1788186117709097.875	,1788186117709141.455	
3,DynamicQuant_bf16_1_high_performance_10,AI_VECTOR_CORE,47,25,332.100,1788186117709837.115	,1788186117710169.215	
3,clear_ops,MIX_AIC,47,26,31.240,1788186117710170.355	,1788186117710201.595	
3,GroupedMatmul_073724674f6bc75efdc841276e0eb3cc_335741442,MIX_AIC,47,27,52.220,1788186117711691.175	,1788186117711743.395	
3,DequantSwigluQuant_int32_high_performance_100000000,AI_VECTOR_CORE,47,28,7.780,1788186117711851.835	,1788186117711859.615	
3,GroupedMatmul_7027ddb93c25b26c6a749b5e1bdcd245_34697052674,MIX_AIC,47,29,43.280,1788186117713804.315	,1788186117713847.595	
3,DynamicQuant_bf16_1_high_performance_10,AI_VECTOR_CORE,47,30,328.560,1788186117714510.715	,1788186117714839.275	
3,clear_ops,MIX_AIC,47,31,29.540,1788186117714840.555	,1788186117714870.095	
3,GroupedMatmul_073724674f6bc75efdc841276e0eb3cc_335741442,MIX_AIC,47,32,53.460,1788186117716361.675	,1788186117716415.135	
3,DequantSwigluQuant_int32_high_performance_100000000,AI_VECTOR_CORE,47,33,8.780,1788186117716515.155	,1788186117716523.935	
3,GroupedMatmul_7027ddb93c25b26c6a749b5e1bdcd245_34697052674,MIX_AIC,47,34,40.520,1788186117718466.775	,1788186117718507.295	
3,DynamicQuant_bf16_1_high_performance_10,AI_VECTOR_CORE,47,35,333.040,1788186117719170.355	,1788186117719503.395	
3,clear_ops,MIX_AIC,47,36,29.400,1788186117719504.875	,1788186117719534.275	
3,GroupedMatmul_073724674f6bc75efdc841276e0eb3cc_335741442,MIX_AIC,47,37,51.900,1788186117720995.535	,1788186117721047.435	
3,DequantSwigluQuant_int32_high_performance_100000000,AI_VECTOR_CORE,47,38,9.200,1788186117721160.975	,1788186117721170.175	
3,GroupedMatmul_7027ddb93c25b26c6a749b5e1bdcd245_34697052674,MIX_AIC,47,39,42.380,1788186117723100.875	,1788186117723143.255	
3,DynamicQuant_bf16_1_high_performance_10,AI_VECTOR_CORE,47,40,329.580,1788186117723818.255	,1788186117724147.835	
